"dcm(1,1)","dcm(1,2)","dcm(1,3)","dcm(2,1)","dcm(2,2)","dcm(2,3)","dcm(3,1)","dcm(3,2)","dcm(3,3)",phi,psi,theta
0.257,0.716,0.205,0.887,0.565,0.641,0.578,0.572,0.979,1.2887781069138218,-0.4714296812174115,0.528772772335192
0.273,0.923,0.427,0.658,0.206,0.765,0.442,0.431,0.201,1.1775169217409998,-0.7488340284389503,1.134423232016539
0.338,0.217,0.842,0.698,0.647,0.118,0.495,0.811,0.598,1.1198354650035867,-0.4566232256484811,0.9354331884064658
0.66,0.12,0.265,0.676,0.813,0.232,0.762,0.024,0.362,0.7973736387931285,-1.1264439095558123,0.06620146045526046
0.727,0.466,0.184,0.874,0.215,0.294,0.404,0.551,0.179,0.8769590527195119,-0.608937025770986,1.2566875450407526
0.151,0.158,0.445,0.644,0.26,0.855,0.661,0.075,0.277,1.3404847453139472,-1.1612002323438628,0.2644183103750076
0.015,0.522,0.232,0.855,0.507,0.375,0.756,0.151,0.265,1.5532542667374942,-1.1873268178117362,0.5179261067184296
0.12,0.872,0.23,0.724,0.165,0.505,0.654,0.967,0.244,1.4065437064881197,-0.5804170945349645,1.3236289512097132
0.729,0.116,0.248,0.549,0.62,0.787,0.349,0.467,0.609,0.6454734928233307,-0.42680232139225327,0.6541861334657307
0.136,0.633,0.023,0.897,0.082,0.578,0.86,0.663,0.532,1.4203258267627237,-0.7912138742801701,0.8945856079335799
0.353,0.27,0.223,0.209,0.492,0.062,0.958,0.779,0.352,0.5345667242910563,-0.842244230540769,1.1463955702336055
0.701,0.39,0.888,0.037,0.758,0.167,0.227,0.588,0.591,0.05273280704258673,-0.26584147386067336,0.7828536396269683
0.196,0.722,0.743,0.899,0.717,0.452,0.632,0.697,0.714,1.3561353754913785,-0.564612273753562,0.7733505535432623
0.993,0.425,0.087,0.591,0.035,0.462,0.525,0.892,0.468,0.5368576275332118,-0.4804526860800705,1.0876130151222627
0.531,0.515,0.468,0.549,0.004,0.329,0.233,0.044,0.538,0.8020632871113891,-0.40748497645850534,0.08160277156375431
0.904,0.594,0.266,0.052,0.477,0.566,0.134,0.547,0.835,0.057458806581806146,-0.13344182659660292,0.5799449841014115
0.548,0.421,0.025,0.376,0.058,0.7,0.333,0.141,0.729,0.6013574021996869,-0.42158787731592806,0.1910565005446098
0.097,0.87,0.586,0.428,0.082,0.962,0.419,0.349,0.114,1.3479257249740828,-0.8512610157652905,1.2550749844394828
0.299,0.099,0.38,0.76,0.737,0.099,0.781,0.016,0.672,1.1959742904590216,-0.8601350202099455,0.023805026185069942
0.57,0.341,0.07,0.632,0.275,0.698,0.598,0.954,0.097,0.8369331904576046,-0.5576056976169623,1.4694674081110657
0.432,0.805,0.115,0.911,0.946,0.731,0.886,0.957,0.282,1.1279975154585171,-0.7261773833848646,1.2842358065537638
0.551,0.641,0.763,0.65,0.33,0.383,0.312,0.585,0.814,0.8676435234285312,-0.30174625000694266,0.6231487008679623
0.197,0.605,0.846,0.787,0.997,0.183,0.501,0.628,0.825,1.3255187100147563,-0.45012179153894843,0.6506383332798189
0.913,0.645,0.024,0.925,0.569,0.868,0.111,0.292,0.41,0.7919269063254019,-0.21704747538201438,0.618863805576406
0.405,0.04,0.451,0.072,0.182,0.373,0.923,0.053,0.23,0.1759396254525278,-1.3204434753227978,0.22648128693404304
0.196,0.232,0.175,0.209,0.557,0.961,0.306,0.035,0.931,0.8174859115246884,-0.3173462676790928,0.037576289342723335
0.785,0.349,0.576,0.359,0.413,0.43,0.487,0.33,0.809,0.42892854371568856,-0.5084983385989106,0.3873075474847379
0.455,0.353,0.665,0.699,0.859,0.035,0.724,0.629,0.778,0.9937676757865331,-0.6264328365833517,0.6798923171995405
0.258,0.671,0.963,0.293,0.028,0.081,0.483,0.74,0.052,0.8488338072989695,-0.5771461186142283,1.5006413778266279
0.056,0.424,0.513,0.12,0.47,0.542,0.17,0.802,0.741,1.1341691669813552,-0.15444939824323892,0.8249109638166878
0.771,0.775,0.51,0.807,0.779,0.421,0.173,0.576,0.625,0.8082078949419321,-0.20080030109276423,0.744621444921323
0.163,0.954,0.438,0.46,0.726,0.827,0.398,0.205,0.331,1.2302534288368472,-0.7963961791688743,0.554515482887404
0.461,0.331,0.581,0.418,0.132,0.972,0.479,0.275,0.424,0.7365179037839023,-0.7586137469829105,0.5753797833422066
0.059,0.897,0.89,0.441,0.298,0.449,0.719,0.678,0.516,1.4377992279155,-0.7009278816479513,0.9202530808933
0.328,0.772,0.853,0.552,0.98,0.599,0.812,0.518,0.944,1.034650304782662,-0.646119066883924,0.5018667282046185
0.404,0.723,0.357,0.661,0.776,0.7,0.528,0.397,0.389,1.0221857323238843,-0.7597400755404388,0.7955759290034599
0.968,0.065,0.001,0.849,0.519,0.336,0.997,0.381,0.645,0.7199989915637429,-0.9264141236254425,0.5335514763921508
0.391,0.485,0.251,0.314,0.931,0.671,0.308,0.453,0.274,0.6766095168161581,-0.526906695491157,1.0268135115118378
0.173,0.78,0.465,0.26,0.109,0.016,0.754,0.424,0.101,0.9836818224809821,-1.0466591830526053,1.336946864706287
0.505,0.038,0.845,0.692,0.198,0.515,0.627,0.464,0.931,0.9403694204721377,-0.5424444531163272,0.46235784187419365
0.897,0.461,0.762,0.21,0.631,0.309,0.434,0.147,0.223,0.22997189085864575,-1.019116574299094,0.5828105422072238
0.515,0.77,0.327,0.809,0.88,0.553,0.769,0.987,0.839,1.0039071604563756,-0.5357254166150058,0.8662728533829083
0.338,0.603,0.519,0.017,0.68,0.496,0.532,0.613,0.105,0.050253511546339655,-0.7076235691798257,1.4011538916303412
0.62,0.078,0.92,0.656,0.056,0.079,0.771,0.529,0.923,0.8136038473835916,-0.627130153459733,0.5204286132518923
0.758,0.015,0.53,0.84,0.747,0.971,0.874,0.613,0.348,0.8366673379704621,-0.8920967600740249,1.0544656195033664
0.847,0.364,0.612,0.036,0.427,0.68,0.928,0.711,0.353,0.042477385425974526,-0.8631780646091339,1.1099656117519348
0.64,0.8,0.852,0.629,0.873,0.64,0.611,0.766,0.637,0.7767301377829194,-0.5501390115286191,0.8770861957185011
0.946,0.52,0.794,0.147,0.008,0.714,0.841,0.109,0.906,0.15415822178634858,-0.7446269691260392,0.11973357848747872
0.826,0.528,0.81,0.887,0.097,0.604,0.92,0.86,0.115,0.8209931636357117,-0.8146712420707358,1.4378639872051298
0.77,0.35,0.887,0.549,0.309,0.929,0.232,0.141,0.493,0.6193890067852379,-0.42488716289878886,0.27856754005951256
0.857,0.209,0.027,0.194,0.478,0.311,0.436,0.802,0.348,0.22261905494244824,-0.46261894806218795,1.1613987133883135
0.769,0.249,0.004,0.274,0.114,0.55,0.841,0.485,0.059,0.3422823453028631,-1.044505045899487,1.4497416502986225
0.802,0.433,0.245,0.072,0.832,0.136,0.957,0.281,0.84,0.08953553417779699,-0.8240414296973603,0.3228216000420764
0.554,0.037,0.634,0.356,0.39,0.236,0.124,0.177,0.221,0.5711549980838274,-0.4127806489394287,0.6752925141477608
0.974,0.64,0.678,0.863,0.122,0.528,0.332,0.763,0.436,0.7250469368023988,-0.3612178382822405,1.0516502125483738
0.765,0.108,0.204,0.799,0.608,0.181,0.713,0.255,0.431,0.807133870239241,-0.9584856864339065,0.5342551947885807
0.663,0.706,0.817,0.941,0.805,0.068,0.698,0.044,0.774,0.9570100915520436,-0.7330112801863735,0.05678642668586774
0.443,0.949,0.382,0.672,0.659,0.08,0.567,0.288,0.009,0.9879625262856261,-1.1006226052092392,1.5395564933646284
0.145,0.388,0.975,0.763,0.785,0.688,0.257,0.74,0.714,1.3829964320174546,-0.24491056030920777,0.803277963478678
0.773,0.994,0.292,0.867,0.444,0.256,0.186,0.583,0.067,0.842652593089597,-0.30693678574190375,1.4563754801849074
0.958,0.522,0.378,0.187,0.636,0.473,0.724,0.197,0.63,0.19277433496087448,-0.8315457354447839,0.3030656184859718
0.047,0.342,0.589,0.21,0.72,0.054,0.506,0.942,0.341,1.3506152852991973,-0.46770360710461273,1.2234750919377193
0.184,0.397,0.871,0.213,0.077,0.742,0.56,0.369,0.314,0.858316509194943,-0.857538402053229,0.8657518616018111
0.357,0.827,0.444,0.179,0.289,0.347,0.598,0.166,0.824,0.46476742936138926,-0.6183593465713291,0.19879546560828656
0.872,0.482,0.104,0.567,0.649,0.323,0.15,0.366,0.414,0.5765364394040224,-0.26506341677437867,0.7239372075146824
0.263,0.262,0.641,0.888,0.055,0.724,0.978,0.257,0.029,1.28285591041861,-1.3122656173244038,1.4584311653517499
0.44,0.246,0.501,0.511,0.558,0.698,0.212,0.345,0.316,0.8599181684945763,-0.42546158739300616,0.829242966331631
0.206,0.432,0.717,0.798,0.985,0.277,0.609,0.425,0.92,1.3181662532454368,-0.5411059905975732,0.4327523654948725
0.458,0.897,0.79,0.063,0.522,0.293,0.481,0.816,0.128,0.13669673439792787,-0.5273328528438377,1.415201498817867
0.004,0.66,0.656,0.834,0.787,0.233,0.291,0.46,0.263,1.5660002005005125,-0.502217027731571,1.0514161301556455
0.862,0.745,0.283,0.18,0.164,0.624,0.016,0.037,0.903,0.20585860946421414,-0.017702010740924805,0.040951621541221055
0.712,0.008,0.959,0.547,0.798,0.704,0.54,0.042,0.676,0.6550844623898836,-0.6730797377210387,0.06205041804356742
0.396,0.124,0.08,0.181,0.183,0.126,0.345,0.088,0.451,0.4287183473315014,-0.6440178102509148,0.19270075866238556
0.154,0.885,0.947,0.401,0.963,0.775,0.303,0.749,0.998,1.204123913626615,-0.23821663737708293,0.6438216729752835
0.645,0.214,0.317,0.689,0.092,0.917,0.603,0.366,0.185,0.8183697183953501,-0.9735530276097962,1.1027866952964742
0.289,0.157,0.104,0.95,0.934,0.807,0.944,0.781,0.488,1.275481154627686,-0.7977700518536396,1.0123121127399604
0.907,0.667,0.682,0.179,0.038,0.863,0.485,0.703,0.149,0.19484995652370263,-0.5936862909010429,1.361938386874685
0.802,0.877,0.62,0.303,0.782,0.65,0.699,0.715,0.621,0.36122800320832976,-0.6358395150605897,0.8556416856115339
0.636,0.646,0.176,0.067,0.981,0.644,0.724,0.278,0.014,0.10495878518609959,-1.2037539442376337,1.5204791223334184
